ctry,area_code,income,employ,original_imd_score,original_imd_quintile,uk_imd_england_score,uk_imd_england_quintile,uk_imd_ni_score,uk_imd_ni_quintile,uk_imd_scotland_score,uk_imd_scotland_quintile,uk_imd_wales_score,uk_imd_wales_quintile
England,E01000001,1.1,1.5,6.1,1 - least deprived,6.1,1 - least deprived,-1.2,1 - least deprived,4.4,1 - least deprived,1.8,1 - least deprived
England,E01000002,1.2,1.7,6.3,1 - least deprived,6.3,1 - least deprived,-1,1 - least deprived,4.6,1 - least deprived,2,1 - least deprived
England,E01000003,10.5,8.8,19.5,3,19.5,3,10.7,3,18.3,3,15.5,3
England,E01000005,21.7,14.4,26,4,26,4,16.5,4,25.9,4,22.5,4
England,E01000006,13.3,9.4,22.6,4,22.6,4,13,3,21.1,3,18.7,4
England,E01000007,30,20.2,42.5,5 - most deprived,42.5,5 - most deprived,30.3,5 - most deprived,41.8,5 - most deprived,39.2,5 - most deprived
England,E01000008,29,17,38.3,5 - most deprived,38.3,5 - most deprived,26.3,5 - most deprived,37.4,5 - most deprived,35.1,5 - most deprived
England,E01000009,21.9,13.4,33.4,4,33.4,4,21.9,4,31.8,4,29.9,4
England,E01000010,19.7,7.8,30.9,4,30.9,4,18.6,4,27.9,4,27.4,4
England,E01000011,20.3,10.2,30.1,4,30.1,4,18.6,4,28,4,26.5,4
England,E01000012,26.3,12.4,36.9,5 - most deprived,36.9,5 - most deprived,24.1,5 - most deprived,34.6,5 - most deprived,33.6,5 - most deprived
England,E01000013,25,18.7,40.3,5 - most deprived,40.3,5 - most deprived,28.5,5 - most deprived,39.3,5 - most deprived,36.8,5 - most deprived
England,E01000014,24.2,16.5,38.4,5 - most deprived,38.4,5 - most deprived,26.5,5 - most deprived,37,5 - most deprived,34.8,5 - most deprived
England,E01000015,29.4,17.7,39.1,5 - most deprived,39.1,5 - most deprived,27.1,5 - most deprived,38.2,5 - most deprived,35.9,5 - most deprived
England,E01000016,25.6,17.1,34.2,5 - most deprived,34.2,4,23.4,4,33.8,4,30.8,4
England,E01000017,29.2,21,40.6,5 - most deprived,40.6,5 - most deprived,29.1,5 - most deprived,40.4,5 - most deprived,37.2,5 - most deprived
England,E01000018,28.3,17.2,36.4,5 - most deprived,36.4,5 - most deprived,24.9,5 - most deprived,35.8,5 - most deprived,33.1,5 - most deprived
England,E01000019,26.9,18.6,34.6,5 - most deprived,34.6,5 - most deprived,24,5 - most deprived,34.6,5 - most deprived,31.3,5 - most deprived
England,E01000020,24,16.3,32.9,4,32.9,4,22.2,4,32.4,4,29.4,4
England,E01000021,28.4,18.1,40.8,5 - most deprived,40.8,5 - most deprived,28.5,5 - most deprived,39.7,5 - most deprived,37.5,5 - most deprived
England,E01000022,22,17.3,31.6,4,31.6,4,21.6,4,31.5,4,28,4
England,E01000023,29.7,13.5,38.6,5 - most deprived,38.6,5 - most deprived,25.5,5 - most deprived,36.5,5 - most deprived,35.4,5 - most deprived
England,E01000024,22.7,14.8,30.9,4,30.9,4,20.4,4,30.2,4,27.4,4
England,E01000025,25.6,17.8,36,5 - most deprived,36,5 - most deprived,24.9,5 - most deprived,35.5,5 - most deprived,32.5,5 - most deprived
England,E01000027,29.5,17.8,42,5 - most deprived,42,5 - most deprived,29.3,5 - most deprived,40.7,5 - most deprived,38.7,5 - most deprived
England,E01000028,32.4,21.4,43.1,5 - most deprived,43.1,5 - most deprived,31,5 - most deprived,42.8,5 - most deprived,39.9,5 - most deprived
England,E01000029,13.9,11,26.7,4,26.7,4,16.5,4,25,4,22.7,4
England,E01000030,31.4,18.1,41.3,5 - most deprived,41.3,5 - most deprived,28.7,5 - most deprived,40.3,5 - most deprived,38.1,5 - most deprived
England,E01000031,14.3,12.1,25.1,4,25.1,4,15.6,4,24.1,4,21.2,4
England,E01000032,17.5,13.7,30.4,4,30.4,4,19.9,4,29.1,4,26.6,4
England,E01000033,29.7,21.5,41.4,5 - most deprived,41.4,5 - most deprived,29.8,5 - most deprived,41.3,5 - most deprived,38,5 - most deprived
England,E01000034,27.4,17.2,37,5 - most deprived,37,5 - most deprived,25.4,5 - most deprived,36.2,5 - most deprived,33.6,5 - most deprived
England,E01000035,19.1,12.8,27,4,27,4,17,4,26.1,4,23.3,4
England,E01000036,14.2,9.9,20.9,3,20.9,3,11.8,3,20,3,17.1,3
England,E01000037,14.7,15.3,20.1,3,20.1,3,12.6,3,20.9,3,16.2,3
England,E01000038,14.3,12.1,19.1,3,19.1,3,11,3,19.1,3,15.3,3
England,E01000039,15.6,10.6,23.5,4,23.5,4,13.9,4,22.4,4,19.7,4
England,E01000040,26.6,18.9,34.7,5 - most deprived,34.7,5 - most deprived,24.2,5 - most deprived,34.8,5 - most deprived,31.3,5 - most deprived
England,E01000041,21.3,15.2,34.7,5 - most deprived,34.7,5 - most deprived,23.5,4,33.4,4,31.1,5 - most deprived
England,E01000042,33.8,23.4,43.9,5 - most deprived,43.9,5 - most deprived,32.1,5 - most deprived,44.2,5 - most deprived,40.8,5 - most deprived
England,E01000043,23.7,15.3,33.7,4,33.7,4,22.6,4,32.7,4,30.3,4
