"","area_code","EASTING","NORTHING","IZ_CODE","MMW_CODE","SPC11_CODE","SPC07_CODE","CHP_CODE","LA_CODE","HB_CODE","SGUR2010_6FOLD","LEC_CODE","NUTS1_CODE","NUTS2_CODE","NUTS3_CODE","NUTS4_CODE","SIMD2009_VIGINTILES","SETT2008_CODE","COMREG_LOC_CODE","COMREG_CPP_CODE","area_name"
"1","S01000001",383768,800514,"S02000003",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V16","191",NA,NA,"NHS Grampian"
"2","S01000002",394754,800555,"S02000001",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V19","479",NA,NA,"NHS Grampian"
"3","S01000003",394910,800780,"S02000001",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V19","479",NA,NA,"NHS Grampian"
"4","S01000004",394278,800816,"S02000001",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V19","479",NA,NA,"NHS Grampian"
"5","S01000005",383520,800680,"S02000003",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V19","191",NA,NA,"NHS Grampian"
"6","S01000006",384020,800881,"S02000003",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V13","191",NA,NA,"NHS Grampian"
"7","S01000007",384450,800914,"S02000003",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V20","191",NA,NA,"NHS Grampian"
"8","S01000008",383879,801016,"S02000003",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V16","191",NA,NA,"NHS Grampian"
"9","S01000009",395190,801100,"S02000001",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V15","479",NA,NA,"NHS Grampian"
"10","S01000010",394660,801100,"S02000001",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V17","479",NA,NA,"NHS Grampian"
"11","S01000011",385604,801551,"S02000007",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V20","191",NA,NA,"NHS Grampian"
"12","S01000012",394185,800524,"S02000002",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V17","479",NA,NA,"NHS Grampian"
"13","S01000013",383500,801260,"S02000003",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V13","191",NA,NA,"NHS Grampian"
"14","S01000014",395330,801230,"S02000005",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V16","479",NA,NA,"NHS Grampian"
"15","S01000015",394650,801550,"S02000005",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V18","479",NA,NA,"NHS Grampian"
"16","S01000016",386820,801800,"S02000007",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V20","191",NA,NA,"NHS Grampian"
"17","S01000017",395001,801590,"S02000005",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V14","479",NA,NA,"NHS Grampian"
"18","S01000018",394860,801780,"S02000005",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V14","479",NA,NA,"NHS Grampian"
"19","S01000019",386154,801877,"S02000007",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V19","191",NA,NA,"NHS Grampian"
"20","S01000020",389195,802616,"S02000004",109,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V12","479",NA,NA,"NHS Grampian"
"21","S01000021",393170,802490,"S02000002",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V14","479",NA,NA,"NHS Grampian"
"22","S01000022",387700,802500,"S02000004",109,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V20","479",NA,NA,"NHS Grampian"
"23","S01000023",385700,802200,"S02000007",109,"S16000076",3,"S03000012",100,"S08000006",3,8,"UKM","UKM5","UKM50","UKM5001","V19","191",NA,NA,"NHS Grampian"
"24","S01000024",382550,802260,"S02000003",109,"S16000076",3,"S03000012",100,"S08000006",5,8,"UKM","UKM5","UKM50","UKM5001","V17",NA,NA,NA,"NHS Grampian"
"25","S01000025",388230,802940,"S02000004",109,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V19","479",NA,NA,"NHS Grampian"
"26","S01000026",392980,802880,"S02000006",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V5","479",NA,NA,"NHS Grampian"
"27","S01000027",388520,802830,"S02000004",109,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V19","479",NA,NA,"NHS Grampian"
"28","S01000028",393310,802860,"S02000002",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V8","479",NA,NA,"NHS Grampian"
"29","S01000029",387550,802960,"S02000004",109,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V19","479",NA,NA,"NHS Grampian"
"30","S01000030",393710,802990,"S02000002",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V7","479",NA,NA,"NHS Grampian"
"31","S01000031",389550,802990,"S02000004",109,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V20","479",NA,NA,"NHS Grampian"
"32","S01000032",394170,803150,"S02000002",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V9","479",NA,NA,"NHS Grampian"
"33","S01000033",393574,803388,"S02000006",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V5","479",NA,NA,"NHS Grampian"
"34","S01000034",389783,803276,"S02000004",109,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V20","479",NA,NA,"NHS Grampian"
"35","S01000035",391820,803460,"S02000008",111,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V9","479",NA,NA,"NHS Grampian"
"36","S01000036",391330,803260,"S02000008",111,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V6","479",NA,NA,"NHS Grampian"
"37","S01000037",394574,803246,"S02000005",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V6","479",NA,NA,"NHS Grampian"
"38","S01000038",393520,803550,"S02000006",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V11","479",NA,NA,"NHS Grampian"
"39","S01000039",391280,803500,"S02000008",111,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V9","479",NA,NA,"NHS Grampian"
"40","S01000040",393920,803520,"S02000006",113,"S16000076",3,"S03000012",100,"S08000006",1,8,"UKM","UKM5","UKM50","UKM5001","V9","479",NA,NA,"NHS Grampian"
